distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,t_cost,b_cost,kg_co2,kg_co2_km
28,5,26,21,12,E10,0,0,0,8,0,11,0
12,4,30,21,13,E10,0,0,0,7,0,9,0
11,5,38,21,15,E10,0,0,0,9,0,12,1
12,3,36,21,14,E10,0,0,0,6,0,9,0
18,4,46,21,15,E10,0,0,0,7,0,10,0
8,6,50,21,10,E10,0,0,0,10,1,15,1
7,4,43,21,11,E10,0,0,0,7,0,10,1
12,5,40,21,6,E10,0,0,0,8,0,11,0
4,6,26,21,4,E10,0,0,0,10,2,15,3
11,5,30,21,9,E10,0,0,0,9,0,12,1
12,5,42,21,4,E10,0,0,0,9,0,13,1
11,4,38,21,0,E10,0,0,0,7,0,10,0
12,5,59,21,10,E10,0,0,0,10,0,13,1
24,5,58,21,12,E10,0,0,0,8,0,11,0
12,4,46,21,11,E10,0,0,0,8,0,11,0
17,5,24,21,5,E10,0,0,0,8,0,11,0
33,5,36,21,3,E10,0,0,0,9,0,13,0
11,5,32,21,3,E10,0,0,0,8,0,11,1
25,4,39,21,8,E10,0,0,0,8,0,11,0
11,4,40,21,4,E10,0,0,0,8,0,11,0
25,5,32,21,3,E10,0,0,0,9,0,12,0
14,5,38,21,1,E10,0,0,0,10,0,13,0
17,5,37,21,1,E10,0,0,0,9,0,13,0
11,4,36,21,1,E10,0,0,0,8,0,11,0
12,5,62,21,6,E10,0,0,0,10,0,13,1
12,4,57,21,9,E10,0,0,0,7,0,9,0
18,5,21,22,2,E10,0,0,0,9,0,13,0
18,5,28,21,3,E10,0,0,0,9,0,13,0
18,5,29,21,1,E10,0,0,0,9,0,12,0
18,5,35,21,4,E10,0,0,0,9,0,13,0
12,5,51,21,11,E10,0,0,0,9,0,12,1
11,5,29,21,10,E10,0,0,0,8,0,11,0
12,5,58,21,8,E10,0,0,0,9,0,13,1
32,4,40,21,7,E10,0,0,0,8,0,11,0
19,4,36,21,7,E10,0,0,0,7,0,10,0
12,5,36,21,8,E10,0,0,0,9,0,13,1
20,5,37,21,4,E10,0,0,0,8,0,12,0
4,7,26,21,6,E10,0,0,0,12,2,17,3
11,4,23,21,9,E10,0,0,0,8,0,11,0
12,6,58,21,7,E10,0,0,0,11,0,15,1
12,4,55,21,7,E10,1,1,0,6,0,9,0
4,5,29,21,7,E10,1,0,0,8,1,11,2
11,4,37,21,6,E10,0,0,0,7,0,10,0
10,4,44,21,7,E10,0,0,0,7,0,10,0
5,3,32,21,7,SP98,0,0,0,5,1,7,1
2,9,21,21,4,SP98,0,0,0,17,8,23,11
14,5,32,21,7,SP98,0,0,0,9,0,12,0
